,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
58,"Benedicta es, coelorum regina","(-2, -2, 1, -2)","(-2, -2, 1, -2)",Fuga,[Contratenor],[Tenor],-,-,-,-,-,-,-,-,-,-,59/3.5,60/3.5,-,-,-,-,-,-,-,-,-,-,469.0,477.0,-,-,-,-,-,-,-,-,-,-,11.0,11.0,-,-,-,-,-,-,-,-,-,-
59,"Benedicta es, coelorum regina","(-2, 1, -2, 1)","(-2, 1, -2, 2)",Fuga,[Contratenor],[Tenor],-,-,-,-,-,-,-,-,-,-,59/4.0,60/4.0,-,-,-,-,-,-,-,-,-,-,470.0,478.0,-,-,-,-,-,-,-,-,-,-,18.0,18.0,-,-,-,-,-,-,-,-,-,-
60,"Benedicta es, coelorum regina","(-2, -2, 2, -3)","(-2, -3, 2, -3)",Fuga,[Contratenor],[SextaVox],-,-,-,-,-,-,-,-,-,-,63/1.0,66/1.0,-,-,-,-,-,-,-,-,-,-,496.0,520.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
61,"Benedicta es, coelorum regina","(2, 3, -2, 1)","(2, 3, -2, 1)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,63/2.5,66/2.5,-,-,-,-,-,-,-,-,-,-,499.0,523.0,-,-,-,-,-,-,-,-,-,-,10.0,11.0,-,-,-,-,-,-,-,-,-,-
62,"Benedicta es, coelorum regina","(-2, 2, -3, -2)","(-3, 2, -3, -2)",Fuga,[Contratenor],[SextaVox],[QuintaVox],-,-,-,-,-,-,-,-,-,63/3.0,66/3.0,71/3.0,-,-,-,-,-,-,-,-,-,500.0,524.0,564.0,-,-,-,-,-,-,-,-,-,20.0,20.0,20.0,-,-,-,-,-,-,-,-,-
63,"Benedicta es, coelorum regina","(3, -2, 1, -2)","(3, -2, 1, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,63/3.0,66/3.0,-,-,-,-,-,-,-,-,-,-,500.0,524.0,-,-,-,-,-,-,-,-,-,-,10.0,12.0,-,-,-,-,-,-,-,-,-,-
64,"Benedicta es, coelorum regina","(2, -3, 2, -5)","(2, -3, 2, -5)",Fuga,[Bassus],[Bassus],-,-,-,-,-,-,-,-,-,-,63/3.0,66/2.0,-,-,-,-,-,-,-,-,-,-,500.0,522.0,-,-,-,-,-,-,-,-,-,-,20.0,14.0,-,-,-,-,-,-,-,-,-,-
65,"Benedicta es, coelorum regina","(-2, 1, -2, 3)","(-2, 1, -2, 3)",Fuga,[Discantus],[Discantus],-,-,-,-,-,-,-,-,-,-,64/2.0,68/4.0,-,-,-,-,-,-,-,-,-,-,506.0,542.0,-,-,-,-,-,-,-,-,-,-,14.0,12.0,-,-,-,-,-,-,-,-,-,-
66,"Benedicta es, coelorum regina","(2, 1, 2, -3)","(1, 1, 2, -3)",PEN,[Bassus],[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,68/2.0,69/4.0,71/2.0,-,-,-,-,-,-,-,-,-,538.0,550.0,562.0,-,-,-,-,-,-,-,-,-,10.0,10.0,10.0,-,-,-,-,-,-,-,-,-
67,"Benedicta es, coelorum regina","(1, 2, -3, 1)","(1, 2, -3, 2)",PEN,[Bassus],[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,68/3.0,70/1.0,71/3.0,-,-,-,-,-,-,-,-,-,540.0,552.0,564.0,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-
68,"Benedicta es, coelorum regina","(-2, 2, -3, 2)","(-3, 2, -3, 2)",Fuga,[Contratenor],[Contratenor],-,-,-,-,-,-,-,-,-,-,71/3.0,72/1.0,-,-,-,-,-,-,-,-,-,-,564.0,568.0,-,-,-,-,-,-,-,-,-,-,10.0,12.0,-,-,-,-,-,-,-,-,-,-
69,"Benedicta es, coelorum regina","(1, -2, 1, -2)","(2, -2, 1, -2)",Fuga,[Discantus],[Contratenor],-,-,-,-,-,-,-,-,-,-,71/3.5,73/3.0,-,-,-,-,-,-,-,-,-,-,565.0,580.0,-,-,-,-,-,-,-,-,-,-,11.0,12.0,-,-,-,-,-,-,-,-,-,-
70,"Benedicta es, coelorum regina","(-2, 1, -2, 1)","(-2, 1, -2, 2)",Fuga,[Discantus],[Contratenor],-,-,-,-,-,-,-,-,-,-,71/4.0,73/4.0,-,-,-,-,-,-,-,-,-,-,566.0,582.0,-,-,-,-,-,-,-,-,-,-,18.0,14.0,-,-,-,-,-,-,-,-,-,-
71,"Benedicta es, coelorum regina","(-2, -2, 2, -2)","(-2, -3, 2, -2)",ID,[SextaVox],[Tenor],[Bassus],[SextaVox],[Tenor],[Bassus],-,-,-,-,-,-,73/3.0,74/3.0,75/1.0,76/1.0,76/3.0,77/3.0,-,-,-,-,-,-,580.0,588.0,592.0,600.0,604.0,612.0,-,-,-,-,-,-,16.0,16.0,16.0,16.0,13.0,16.0,-,-,-,-,-,-
